29004,892.5
28267,1395
28268,1215
28271,1125
28270,1215
26402,202.5
103325,796
28269,1035
103265,1575
103266,855
23066,2475
22066,2745
23065,1881
24357,2151
24079,2151
27106,2115
29073,1305
29074,1215
29940,1215
29010,1125
103246,2205
103247,1755
103248,1035
103249,1575
103250,855
103251,2115
103252,1035
103253,1665
103254,945
103392,3375
103263,2565
103264,1485
102872,2295
103255,1215
103256,2115
103257,1035
102859,1665
103260,945
103258,1845
103259,1125
102865,2655
103262,1575
102863,1665
103261,945
46559,148
46600,148
46699,156
49740,156
29936,252
29937,364
17849,6.3
17860,9
17861,11.7
17862,14.4
17863,18
17864,23.4
17865,35.1
17866,49.5
17867,58.5
14480,5.4
14481,7.65
14482,9.9
14483,12.6
14484,15.3
14485,20.7
14486,32.4
14487,44.1
14488,52.2
48042,28.8
48043,49.5
48044,67.5
48045,107.1
48046,125.1
48047,148.5
48048,175.5
48049,215.1
48050,278.1
48051,319.5
48000,23.4
48006,28.8
48012,37.8
48018,44.1
48024,49.5
48030,62.1
48036,71.1
40151,23.4
40152,28.8
40153,37.8
40154,44.1
40155,49.5
40156,62.1
40157,71.1
46303,19.8
46304,20.7
46305,21.6
46306,23.4
46307,24.3
46994,25.2
46308,26.1
49980,35.1
49981,37.8
40237,265.5
40238,265.5
40239,265.5
49491,256.5
45154,256.5
45155,256.5
19712,71.1
17239,71.1
17895,71.1
14346,71.1
10555,71.1
10440,292.5
102996,292.5
27180,40.5
27174,40.5
27177,40.5
12778,62.1
19059,62.1
19053,62.1
19066,62.1
19067,62.1
12779,62.1
19060,62.1
47185,152.1
46719,152.1
47184,125.1
47804,125.1
46089,148.5
47183,121.5
46329,179.1
46328,179.1
47187,112.5
47186,94.5
47234,103.5
49322,247.5
49321,247.5
47181,58.5
47182,67.5
49859,67.5
46181,44.1
47188,49.5
46021,44.1
49860,49.5
48539,58.5
49534,148.5
49525,121.5
48793,112.5
48792,94.5
49533,103.5
45864,36
45865,36
49543,44.1
47542,9.9
47543,9.9
47545,11.7
47546,12.6
47547,12.6
47548,15.3
46221,19.8
46593,19.8
46222,28.8
48459,28.8
46854,11.7
46855,11.7
46856,13.5
46857,13.5
46858,14.4
46859,14.4
46860,17.1
46861,17.1
28057,8.1
28058,8.1
27162,8.55
28059,9.9
28061,10.8
28063,12.6
28064,12.6
28065,14.4
27214,14.4
28066,19.8
27215,19.8
27164,27
27165,27
46863,36
48513,43.2
46864,45
48085,45
48794,54
48128,72
48129,100.8
28003,28.8
28004,36
28005,39.6
28006,46.8
27211,46.8
28007,52.2
29070,30.6
29069,97.2
28008,73.8
46225,44.1
46226,71.1
46227,99
46228,130.5
48078,256.5
48079,292.5
45387,256.5
45386,292.5
28206,31.5
28207,49.5
28208,67.5
28209,89.1
46511,11.7
46512,13.5
46500,7.2
47040,6.3
46525,7.2
45884,5.4
46517,9
46518,9
46519,10.8
46520,12.6
48076,13.5
46509,9
27242,8.1
48093,8.1
46315,26.1
46316,26.1
46317,34.2
46318,37.8
46319,31.5
46012,6.3
46013,6.3
49994,445.5
49993,769.5
49992,472.5
49991,832.5
45664,238.5
45665,238.5
45662,319.5
45663,319.5
45586,337.5
45661,337.5
45883,10.8
103642,6255
104175,265.5
104176,265.5
104177,265.5
104165,265.5
104166,265.5
104167,265.5
104168,265.5
104169,265.5
104180,265.5
29904,451.25
29905,451.25
29906,451.25
29907,451.25
29908,451.25
29909,451.25
29910,451.25
29911,451.25
104114,332.5
104115,522.5
104116,522.5
104117,84.55
29922,13.3
29923,23.75
29925,8.55
59988,1217.7
59989,1566
59990,7044.3
59991,1044
59992,1391.4
59993,6869.7
45578,280.25
45579,280.25
43929,1215
44470,65
44469,56
44468,55
44467,53
44466,52
44465,49
44458,31
44457,28
40051,27
44884,255
44887,695
44888,835
44885,1015
44886,1165
20685,565
20686,675
20687,865
20688,995
20689,1185
45656,105
45658,185
45660,275
45655,55
45657,95
45659,145
29020,1950
49586,5250
103718,1050
103552,1190
103738,1350
104011,1750
103770,1550
29932,1850
103670,3150
104058,1100
29072,2150
104077,3550
104078,4050
29939,650
104032,650
104033,1550
104038,1200
104037,495
104035,1350
104034,450
104036,1650
103938,240
104039,990
103837,375
103838,375
29924,1150
45408,195
45409,195
44079,875
44228,1050
44229,950
44080,1550
44258,1750
44259,1650
44066,950
44202,1050
44203,995
44072,1250
44204,1450
44210,1350
44073,975
44215,1150
44216,1050
44074,1250
44222,1450
44227,1350
44088,295
44268,350
44275,325
44081,575
44266,635
44267,595
44319,1125
44333,1225
44332,1175
44387,130
44393,150
44392,140
44365,275
44367,295
44366,285
44394,140
44398,160
44397,150
44368,265
44386,285
44369,275
44334,120
44399,195
44359,130
44437,205
44358,125
44410,200
44089,1350
44090,2050
44095,1850
44094,1990
44096,2600
44102,2550
44103,3190
44104,2350
44110,2190
44117,1125
44112,1690
44111,690
44118,450
44456,675
44277,2200
44296,720
44288,2150
44318,265
44297,405
44317,210
44278,355
44279,320
44287,315
44907,395
44908,625
44909,675
44913,875
45847,800
45846,1400
45844,900
45845,3000
29885,495
29886,845
